supermarket,category,name,description,price,reference_price,reference_unit,insert_date
885EA3C1F14BDAE3193991E63BF5CFA4,limpieza_y_hogar_limpiahogar_y_friegasuelos,Limpiahogar ph neutro Bosque Verde delicado,Botella,1.29,0.86,L,2020-09-25 12:01:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_papeleria_folios_y_papeles_especiales,Cartulina 15 Hojas A4 Canson- Blanca,,3.9,3.9,ud,2021-01-06 00:00:00
ADCA3FE6444F01A88B191BBCD4249311,alimentacion_patatas_fritas_aperitivos_y_frutos_secos_frutos_secos,DIA almendra natural sin piel bolsa 125 gr,,2.2,17.6,€/Kg.,2021-01-14 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,perfumeria_e_higiene_gel_de_bano_sal_y_espuma_de_bano,DOVE gel de ducha cuidado y protección bote 600 ml,,3.49,5.82,€/l.,2021-01-06 12:00:00
433463D95980C252B92C204E3655BB81,bebidas_alcoholes_vermouth,Martini Reserva,,11.3,15.07,l,2020-12-19 12:00:00
433463D95980C252B92C204E3655BB81,el_mercado_quesos_todos_los_quesos,Queso fresco de cabra Burgo de Arias pack de 3 unidades de 70 g.,3x70 G.,2.95,14.05,kg,2020-12-13 01:00:00
433463D95980C252B92C204E3655BB81,el_mercado_quesos_todos_los_quesos,queso havarti light en lonchas Carrefour 200 g.,,1.65,8.25,kg,2020-12-26 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_dulce_y_desayuno_chocolates_turrones_y_bombones,Bombones de coco y almendra Ferrero Raffaello 15 ud.,,3.29,21.93,kg,2021-01-02 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,desayuno_dulces_y_pan_pan_colines_picos_y_rosquillas,LA GAÑANIA picos de jerez bolsa 400 gr,,1.59,3.98,€/Kg.,2020-07-28 04:00:00
433463D95980C252B92C204E3655BB81,la_despensa_conservas_sopas_y_precocinados_caldos_sopas_y_pure,Caldo de carne Carrefour sin gluten brik 1 l.,,0.9,0.9,l,2021-01-20 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_vitaminas_y_complementos,Proteina vegana natural sabor vainilla ecológica sin azúcar añadido Natural Athlete sin gluten 350 g.,350 G.,14.5,41.43,kg,2020-11-01 12:00:00
433463D95980C252B92C204E3655BB81,la_despensa_yogures_y_postres_bifidus,Yogur bífidus desnatado con melocotón Danone Activia pack de 4 unidades de 120 g.,,2.11,4.4,kg,2021-01-02 00:00:00
433463D95980C252B92C204E3655BB81,bebidas_licores_y_cremas_pacharan,Pacharán Berezko 1 l.,1 L.,15.25,,,2020-07-18 04:00:00
433463D95980C252B92C204E3655BB81,bebidas_alcoholes_ron,Ron Yacaré carta blanca 70 cl.,,4.06,5.8,l,2021-01-07 12:00:00
885EA3C1F14BDAE3193991E63BF5CFA4,panaderia_y_pasteleria_bolleria_envasada,Mantecado de canela La Muralla,,0.16,3.95,kg,2020-11-29 01:00:00
433463D95980C252B92C204E3655BB81,bebe_puericultura_accesorios,Broche pinza ovalada para bebé Suavinex 1 ud.,1 Ud.,5.0,5.0,ud,2020-09-24 00:00:00
433463D95980C252B92C204E3655BB81,la_despensa_alimentacion_aceites_y_vinagres,Aceite de oliva virgen Carrefour garrafa 5 l.,,12.45,2.49,l,2021-01-03 12:00:00
ADCA3FE6444F01A88B191BBCD4249311,lacteos_y_huevos_yogures_petit_e_infantiles,DANONE DANONINO petit suisse líquido fresa pack 4 botellas 100 ml,,2.29,5.73,€/Kg.,2020-12-23 00:00:00
433463D95980C252B92C204E3655BB81,limpieza_y_hogar_cuidado_de_la_ropa_detergentes,Detergente liquido ultra oxi effect Ariel 40 lavados.,,13.75,0.34,lavado,2021-01-25 00:00:00
433463D95980C252B92C204E3655BB81,perfumeria_e_higiene_cuidado_y_proteccion_corporal_productos_para_viaje,Mascarilla para cabello seco Total Repair Gliss 20 ml.,,1.04,5.2,100ml,2020-12-29 00:00:00
